DATE,TIME,AIR_TEMPERATURE[C],AIR_HUMIDITY[%],SOIL_TEMPERATURE[C],SOIL_MOISTURE[%],SOIL_MOISTURE[RAW],LIGHT_LEVEL[LUX]
27.07.2025,00:04:36,17.80,92.00,18.44,87.00,1764,nan
27.07.2025,00:09:36,17.80,92.00,18.44,86.00,1767,nan
27.07.2025,00:14:36,17.80,91.00,18.38,86.00,1765,nan
27.07.2025,00:19:35,17.80,92.00,18.38,86.00,1765,nan
27.07.2025,00:24:35,17.80,92.00,18.38,86.00,1765,nan
27.07.2025,00:29:35,17.70,92.00,18.38,86.00,1766,nan
27.07.2025,00:34:35,17.80,92.00,18.31,86.00,1765,nan
27.07.2025,00:39:35,17.60,92.00,18.31,87.00,1764,nan
27.07.2025,00:44:34,17.60,92.00,18.25,87.00,1764,nan
27.07.2025,00:49:34,17.60,92.00,18.25,86.00,1765,nan
27.07.2025,00:54:34,17.60,92.00,18.25,87.00,1759,nan
27.07.2025,00:59:33,17.50,93.00,18.25,88.00,1750,nan
27.07.2025,01:04:33,17.60,92.00,18.19,87.00,1761,nan
27.07.2025,01:09:34,17.50,92.00,18.19,86.00,1765,nan
27.07.2025,01:14:33,17.60,91.00,18.19,87.00,1763,nan
27.07.2025,01:19:33,17.60,91.00,18.12,86.00,1765,nan
27.07.2025,01:24:33,17.50,92.00,18.12,86.00,1767,nan
27.07.2025,01:29:32,17.50,91.00,18.12,87.00,1762,nan
27.07.2025,01:34:32,17.50,92.00,18.12,87.00,1761,nan
27.07.2025,01:39:32,17.50,92.00,18.06,86.00,1767,nan
27.07.2025,01:44:31,17.50,92.00,18.06,86.00,1765,nan
27.07.2025,01:49:31,17.50,92.00,18.00,87.00,1764,nan
27.07.2025,01:54:31,17.50,92.00,18.00,87.00,1761,nan
27.07.2025,01:59:31,17.40,93.00,18.00,86.00,1765,nan
27.07.2025,02:04:31,17.30,93.00,18.00,87.00,1762,nan
27.07.2025,02:09:30,17.20,93.00,18.00,87.00,1763,nan
27.07.2025,02:14:30,17.20,94.00,17.94,86.00,1766,nan
27.07.2025,02:19:30,17.20,95.00,17.94,87.00,1759,nan
27.07.2025,02:24:29,17.20,95.00,17.94,87.00,1761,nan
27.07.2025,02:29:29,17.10,96.00,17.94,87.00,1762,nan
27.07.2025,02:34:29,17.00,96.00,17.94,87.00,1763,nan
27.07.2025,02:39:29,17.00,95.00,17.94,87.00,1762,nan
27.07.2025,02:44:28,17.00,95.00,17.94,87.00,1762,nan
27.07.2025,02:49:28,17.10,95.00,17.88,87.00,1762,nan
27.07.2025,02:54:28,17.00,96.00,17.88,87.00,1759,nan
27.07.2025,02:59:28,17.00,96.00,17.81,87.00,1760,nan
27.07.2025,03:04:27,17.00,95.00,17.81,87.00,1762,nan
27.07.2025,03:09:27,17.00,95.00,17.81,87.00,1762,nan
27.07.2025,03:14:27,17.00,95.00,17.81,87.00,1763,nan
27.07.2025,03:19:26,16.90,95.00,17.75,87.00,1759,nan
27.07.2025,03:24:26,16.80,96.00,17.75,87.00,1758,nan
27.07.2025,03:29:26,16.70,96.00,17.75,86.00,1767,nan
27.07.2025,03:34:25,16.70,96.00,17.69,87.00,1761,nan
27.07.2025,03:39:25,16.70,96.00,17.69,87.00,1761,4.08
27.07.2025,03:44:25,16.60,96.00,17.69,87.00,1761,nan
27.07.2025,03:49:24,16.40,96.00,17.62,87.00,1760,nan
27.07.2025,03:54:24,16.20,97.00,17.56,87.00,1760,0.00
27.07.2025,03:59:24,16.00,97.00,17.50,87.00,1759,nan
27.07.2025,04:04:24,15.90,98.00,17.50,87.00,1757,nan
27.07.2025,04:09:24,15.90,98.00,17.44,87.00,1759,nan
27.07.2025,04:14:23,15.90,98.00,17.44,87.00,1759,inf
27.07.2025,04:19:23,15.50,97.00,17.38,87.00,1756,nan
27.07.2025,04:24:22,15.20,98.00,17.31,87.00,1757,4.08
27.07.2025,04:29:22,15.00,98.00,17.25,87.00,1755,5.44
27.07.2025,04:34:22,14.90,98.00,17.12,88.00,1754,10.88
27.07.2025,04:39:21,14.80,98.00,17.06,87.00,1757,18.17
27.07.2025,04:44:21,14.60,98.00,17.00,87.00,1757,34.48
27.07.2025,04:49:21,14.40,99.00,16.94,88.00,1753,56.23
27.07.2025,04:54:20,14.40,99.00,16.88,87.00,1757,92.48
27.07.2025,04:59:20,14.70,99.00,16.81,88.00,1754,143.28
27.07.2025,05:04:20,14.40,99.00,16.75,88.00,1753,206.87
27.07.2025,05:09:19,14.40,99.00,16.69,88.00,1754,277.70
27.07.2025,05:14:19,14.40,99.00,16.62,87.00,1755,341.58
27.07.2025,05:19:19,14.20,99.00,16.62,87.00,1756,393.87
27.07.2025,05:24:18,14.00,99.00,16.56,87.00,1758,458.58
27.07.2025,05:29:18,13.90,99.00,16.50,87.00,1757,511.09
27.07.2025,05:34:18,14.00,99.00,16.44,88.00,1751,586.78
27.07.2025,05:39:17,13.90,99.00,16.44,88.00,1754,683.25
27.07.2025,05:44:17,14.20,99.00,16.38,87.00,1755,817.82
27.07.2025,05:49:17,14.50,99.00,16.38,87.00,1757,952.56
27.07.2025,05:54:17,14.60,99.00,16.31,87.00,1755,1021.84
27.07.2025,05:59:16,14.70,99.00,16.31,87.00,1755,1080.21
27.07.2025,06:04:16,14.60,99.00,16.25,87.00,1757,1243.58
27.07.2025,06:09:16,14.70,99.00,16.31,88.00,1751,1359.76
27.07.2025,06:14:16,14.90,99.00,16.25,87.00,1756,1457.64
27.07.2025,06:19:16,15.00,98.00,16.25,87.00,1755,1548.09
27.07.2025,06:24:15,15.10,98.00,16.25,87.00,1758,1680.24
27.07.2025,06:29:15,15.20,98.00,16.25,87.00,1759,2131.63
27.07.2025,06:34:15,15.50,97.00,16.25,87.00,1758,2651.11
27.07.2025,06:39:15,15.90,96.00,16.25,87.00,1759,3268.24
27.07.2025,06:44:15,16.40,95.00,16.31,87.00,1760,3338.47
27.07.2025,06:49:15,16.60,94.00,16.31,87.00,1761,3902.31
27.07.2025,06:54:15,16.80,94.00,16.44,87.00,1763,5358.79
27.07.2025,06:59:14,17.20,92.00,16.50,87.00,1761,5369.87
27.07.2025,07:04:14,17.60,91.00,16.62,87.00,1763,5531.23
27.07.2025,07:09:14,17.80,90.00,16.69,87.00,1763,5746.49
27.07.2025,07:14:14,18.00,91.00,16.75,86.00,1765,6120.23
27.07.2025,07:19:14,18.40,89.00,16.88,86.00,1765,6016.64
27.07.2025,07:24:14,18.50,89.00,16.94,87.00,1762,7143.02
27.07.2025,07:29:14,18.60,87.00,17.00,86.00,1768,7777.83
27.07.2025,07:34:13,19.50,87.00,17.12,86.00,1770,8630.04
27.07.2025,07:39:13,19.50,85.00,17.25,86.00,1772,9533.04
27.07.2025,07:44:13,20.00,84.00,17.38,86.00,1773,8608.35
27.07.2025,07:49:13,20.50,80.00,17.50,86.00,1772,9798.15
27.07.2025,07:54:13,20.70,80.00,17.56,85.00,1775,8764.54
27.07.2025,07:59:13,20.50,78.00,17.69,86.00,1770,7786.52
27.07.2025,08:04:13,20.20,79.00,17.75,86.00,1770,8687.82
27.07.2025,08:09:12,20.10,80.00,17.81,86.00,1773,8587.95
27.07.2025,08:14:12,20.60,79.00,17.88,86.00,1773,7614.68
27.07.2025,08:19:12,20.40,79.00,17.88,86.00,1771,6597.98
27.07.2025,08:24:12,20.30,79.00,17.94,86.00,1770,7966.37
27.07.2025,08:29:12,19.90,79.00,17.94,86.00,1774,8255.04
27.07.2025,08:34:12,20.50,78.00,17.94,86.00,1773,10296.13
27.07.2025,08:39:12,21.00,78.00,18.06,85.00,1775,8477.34
27.07.2025,08:44:11,20.30,76.00,18.06,86.00,1771,6372.18
27.07.2025,08:49:11,20.30,76.00,18.06,86.00,1771,6448.26
27.07.2025,08:54:10,20.10,77.00,18.06,86.00,1773,5900.42
27.07.2025,08:59:10,20.20,75.00,18.00,85.00,1776,9107.36
27.07.2025,09:04:10,20.30,76.00,18.00,85.00,1776,11928.12
27.07.2025,09:09:11,20.90,71.00,18.06,85.00,1777,14461.50
27.07.2025,09:14:11,22.10,70.00,18.19,85.00,1779,15563.86
27.07.2025,09:19:11,22.50,67.00,18.31,85.00,1781,15913.81
27.07.2025,09:24:11,23.50,69.00,18.44,85.00,1780,15014.40
27.07.2025,09:29:11,23.60,68.00,18.62,85.00,1779,13518.85
27.07.2025,09:34:11,23.40,69.00,18.69,85.00,1776,14276.81
27.07.2025,09:39:11,23.80,71.00,18.88,85.00,1777,15863.48
27.07.2025,09:44:11,24.40,66.00,19.06,85.00,1778,15453.38
27.07.2025,09:49:10,24.20,66.00,19.12,85.00,1777,14171.33
27.07.2025,09:54:10,24.50,67.00,19.25,85.00,1776,9284.60
27.07.2025,09:59:10,23.40,69.00,19.25,85.00,1776,8771.33
27.07.2025,10:04:09,22.10,73.00,19.25,85.00,1776,8568.69
27.07.2025,10:09:08,21.90,72.00,19.19,85.00,1776,10974.95
27.07.2025,10:14:08,22.30,73.00,19.12,85.00,1776,8914.48
27.07.2025,10:19:08,22.10,70.00,19.06,85.00,1776,5482.07
27.07.2025,10:24:07,21.50,72.00,19.00,85.00,1776,6281.39
27.07.2025,10:29:07,21.50,73.00,18.94,85.00,1777,6743.79
27.07.2025,10:34:07,21.90,74.00,18.94,85.00,1776,6528.01
27.07.2025,10:39:06,21.90,70.00,18.88,85.00,1782,7639.58
27.07.2025,10:44:06,22.10,71.00,18.81,85.00,1781,8481.03
27.07.2025,10:49:06,22.30,73.00,18.88,85.00,1782,8989.29
27.07.2025,10:54:06,22.50,74.00,18.88,85.00,1779,7808.51
27.07.2025,10:59:06,22.60,69.00,18.88,85.00,1779,9650.61
27.07.2025,11:04:05,22.50,74.00,18.94,85.00,1780,14309.04
27.07.2025,11:09:05,24.40,70.00,19.00,85.00,1781,10233.73
27.07.2025,11:14:05,23.30,68.00,19.06,85.00,1778,8996.33
27.07.2025,11:19:05,23.10,68.00,19.06,85.00,1782,9184.76
27.07.2025,11:24:04,23.10,70.00,19.12,85.00,1783,12849.29
27.07.2025,11:29:05,23.90,69.00,19.12,84.00,1790,14452.84
27.07.2025,11:34:04,25.80,66.00,19.25,85.00,1785,8914.57
27.07.2025,11:39:04,23.40,65.00,19.31,85.00,1785,11294.27
27.07.2025,11:44:04,23.50,66.00,19.31,84.00,1791,14104.11
27.07.2025,11:49:04,25.10,67.00,19.44,84.00,1795,12402.45
27.07.2025,11:54:04,25.40,64.00,19.50,84.00,1789,13387.21
27.07.2025,11:59:04,25.00,62.00,19.56,84.00,1791,19779.65
27.07.2025,12:04:04,25.70,62.00,19.62,84.00,1789,13870.24
27.07.2025,12:09:04,25.90,60.00,19.75,85.00,1783,13313.21
27.07.2025,12:14:07,25.00,64.00,19.81,84.00,1795,65197.21
27.07.2025,12:19:10,28.30,60.00,20.00,82.00,1808,65831.58
27.07.2025,12:24:11,34.40,50.00,20.62,82.00,1811,61252.49
27.07.2025,12:29:09,34.80,50.00,21.25,84.00,1791,17702.86
27.07.2025,12:34:09,29.00,55.00,21.56,82.00,1808,63679.95
27.07.2025,12:39:10,34.60,52.00,22.19,81.00,1820,66072.60
27.07.2025,12:44:10,38.70,47.00,22.81,82.00,1813,70952.05
27.07.2025,12:49:10,33.80,51.00,23.44,82.00,1815,65340.66
27.07.2025,12:54:10,34.40,48.00,23.88,81.00,1817,58054.82
27.07.2025,12:59:09,35.70,47.00,24.25,82.00,1815,57834.47
27.07.2025,13:04:06,36.10,51.00,24.50,83.00,1803,28042.25
27.07.2025,13:09:05,32.40,52.00,24.50,79.00,1839,15456.80
27.07.2025,13:14:04,31.80,54.00,24.38,84.00,1791,14458.98
27.07.2025,13:19:03,27.70,57.00,24.12,84.00,1791,13943.50
27.07.2025,13:24:02,26.20,60.00,23.81,84.00,1791,13241.31
27.07.2025,13:29:01,25.60,64.00,23.50,84.00,1792,12216.46
27.07.2025,13:34:00,25.50,64.00,23.25,84.00,1791,12276.29
27.07.2025,13:39:00,25.60,62.00,23.06,84.00,1794,13616.37
27.07.2025,13:44:00,26.10,62.00,22.88,84.00,1793,15087.23
27.07.2025,13:49:00,26.40,60.00,22.81,84.00,1795,17313.05
