DATE,TIME,AIR_TEMPERATURE[C],AIR_HUMIDITY[%],SOIL_TEMPERATURE[C],SOIL_MOISTURE[%],SOIL_MOISTURE[RAW],LIGHT_LEVEL[LUX]
10.08.2025,00:00:33,16.40,94.00,17.75,77.00,1867,nan
10.08.2025,00:05:33,16.50,94.00,17.75,77.00,1864,nan
10.08.2025,00:10:33,16.50,93.00,17.75,77.00,1858,4.08
10.08.2025,00:15:33,16.50,94.00,17.75,78.00,1857,nan
10.08.2025,00:20:33,16.50,93.00,17.75,77.00,1859,nan
10.08.2025,00:25:33,16.60,90.00,17.75,76.00,1869,nan
10.08.2025,00:30:32,16.80,91.00,17.75,77.00,1860,nan
10.08.2025,00:35:32,17.20,87.00,17.75,76.00,1869,nan
10.08.2025,00:40:32,17.60,85.00,17.75,76.00,1872,nan
10.08.2025,00:45:32,17.80,83.00,17.69,77.00,1866,nan
10.08.2025,00:50:32,17.80,86.00,17.69,77.00,1865,nan
10.08.2025,00:55:32,17.80,84.00,17.69,76.00,1871,nan
10.08.2025,01:00:32,17.80,84.00,17.69,76.00,1871,nan
10.08.2025,01:05:31,18.00,83.00,17.69,77.00,1865,nan
10.08.2025,01:10:31,17.80,84.00,17.69,76.00,1871,nan
10.08.2025,01:15:31,17.90,82.00,17.69,76.00,1869,nan
10.08.2025,01:20:32,18.10,83.00,17.69,76.00,1869,nan
10.08.2025,01:25:31,18.00,82.00,17.62,76.00,1871,nan
10.08.2025,01:30:31,18.00,82.00,17.62,76.00,1872,nan
10.08.2025,01:35:31,18.10,83.00,17.62,76.00,1869,nan
10.08.2025,01:40:31,18.30,80.00,17.62,76.00,1872,nan
10.08.2025,01:45:31,18.30,81.00,17.62,76.00,1871,nan
10.08.2025,01:50:31,18.40,81.00,17.62,76.00,1872,nan
10.08.2025,01:55:31,18.30,80.00,17.56,76.00,1872,nan
10.08.2025,02:00:31,18.40,79.00,17.56,76.00,1873,4.08
10.08.2025,02:05:30,18.30,81.00,17.56,76.00,1872,4.08
10.08.2025,02:10:30,18.40,82.00,17.56,76.00,1872,nan
10.08.2025,02:15:30,18.20,79.00,17.56,76.00,1872,nan
10.08.2025,02:20:29,18.30,81.00,17.50,76.00,1872,nan
10.08.2025,02:25:29,18.10,80.00,17.50,76.00,1870,nan
10.08.2025,02:30:29,18.00,82.00,17.44,77.00,1868,nan
10.08.2025,02:35:28,18.00,82.00,17.44,76.00,1870,nan
10.08.2025,02:40:28,17.50,83.00,17.38,76.00,1869,nan
10.08.2025,02:45:28,17.10,86.00,17.31,77.00,1867,nan
10.08.2025,02:50:27,16.60,89.00,17.31,77.00,1867,4.08
10.08.2025,02:55:27,16.50,90.00,17.25,76.00,1872,4.08
10.08.2025,03:00:27,16.50,88.00,17.25,77.00,1866,nan
10.08.2025,03:05:27,17.10,85.00,17.19,76.00,1869,nan
10.08.2025,03:10:26,17.00,83.00,17.19,77.00,1867,4.08
10.08.2025,03:15:26,16.90,87.00,17.12,77.00,1867,nan
10.08.2025,03:20:26,17.00,85.00,17.12,77.00,1868,nan
10.08.2025,03:25:26,17.50,84.00,17.06,76.00,1870,nan
10.08.2025,03:30:26,16.80,85.00,17.06,76.00,1869,nan
10.08.2025,03:35:26,16.60,88.00,17.00,77.00,1867,nan
10.08.2025,03:40:25,16.10,91.00,17.00,77.00,1863,nan
10.08.2025,03:45:25,15.80,94.00,16.94,77.00,1867,nan
10.08.2025,03:50:25,15.80,94.00,16.94,77.00,1865,nan
10.08.2025,03:55:25,15.90,93.00,16.94,77.00,1863,4.08
10.08.2025,04:00:25,16.00,93.00,16.94,76.00,1870,nan
10.08.2025,04:05:24,16.40,90.00,16.94,77.00,1866,nan
10.08.2025,04:10:24,16.50,89.00,16.94,76.00,1872,nan
10.08.2025,04:15:24,16.90,86.00,16.88,76.00,1869,nan
10.08.2025,04:20:24,16.80,89.00,16.88,76.00,1871,4.08
10.08.2025,04:25:24,16.60,87.00,16.81,77.00,1863,nan
10.08.2025,04:30:24,16.50,86.00,16.81,77.00,1865,nan
10.08.2025,04:35:23,16.50,87.00,16.75,77.00,1868,nan
10.08.2025,04:40:23,16.20,88.00,16.75,77.00,1867,nan
10.08.2025,04:45:23,16.00,89.00,16.75,77.00,1863,nan
10.08.2025,04:50:22,16.00,90.00,16.69,77.00,1864,4.08
10.08.2025,04:55:22,15.50,92.00,16.62,77.00,1862,8.16
10.08.2025,05:00:21,15.50,92.00,16.62,77.00,1862,9.18
10.08.2025,05:05:21,15.80,90.00,16.56,78.00,1855,22.21
10.08.2025,05:10:21,16.00,89.00,16.50,77.00,1867,39.98
