DATE,TIME,AIR_TEMPERATURE[C],AIR_HUMIDITY[%],SOIL_TEMPERATURE[C],SOIL_MOISTURE[%],SOIL_MOISTURE[RAW],LIGHT_LEVEL[LUX]
20.08.2025,00:01:06,13.10,89.00,17.56,54.00,2098,nan
20.08.2025,00:06:06,13.20,89.00,17.50,54.00,2097,nan
20.08.2025,00:11:06,13.10,90.00,17.38,54.00,2096,nan
20.08.2025,00:16:05,13.10,90.00,17.38,55.00,2091,nan
20.08.2025,00:21:05,13.00,90.00,17.31,55.00,2090,nan
20.08.2025,00:26:04,13.00,90.00,17.25,55.00,2089,nan
20.08.2025,00:31:04,12.90,89.00,17.19,55.00,2089,nan
20.08.2025,00:36:04,12.90,89.00,17.19,56.00,2085,nan
20.08.2025,00:41:03,12.80,90.00,17.12,56.00,2085,nan
20.08.2025,00:46:02,12.70,90.00,17.12,56.00,2085,nan
20.08.2025,00:51:02,12.50,90.00,17.06,56.00,2081,nan
20.08.2025,00:56:01,12.50,89.00,17.00,56.00,2081,nan
20.08.2025,01:01:01,12.50,89.00,16.94,56.00,2078,nan
20.08.2025,01:06:00,12.30,89.00,16.88,57.00,2073,nan
20.08.2025,01:11:00,12.30,90.00,16.81,57.00,2073,nan
20.08.2025,01:15:59,12.30,90.00,16.75,57.00,2074,nan
20.08.2025,01:20:58,12.20,90.00,16.75,57.00,2074,nan
20.08.2025,01:25:58,12.20,90.00,16.69,57.00,2071,nan
20.08.2025,01:30:57,12.00,90.00,16.62,57.00,2075,nan
20.08.2025,01:35:57,12.10,90.00,16.56,56.00,2076,nan
20.08.2025,01:40:56,12.00,90.00,16.56,56.00,2077,nan
20.08.2025,01:45:56,12.00,91.00,16.50,57.00,2075,nan
20.08.2025,01:50:55,12.00,91.00,16.44,57.00,2075,nan
20.08.2025,01:55:55,12.00,91.00,16.44,56.00,2078,nan
20.08.2025,02:00:55,11.90,91.00,16.38,56.00,2077,nan
20.08.2025,02:05:54,12.00,91.00,16.31,57.00,2075,nan
20.08.2025,02:10:53,12.00,91.00,16.31,57.00,2074,nan
20.08.2025,02:15:53,11.90,91.00,16.25,57.00,2075,nan
20.08.2025,02:20:52,11.90,91.00,16.25,56.00,2077,nan
20.08.2025,02:25:52,11.90,91.00,16.19,56.00,2077,nan
20.08.2025,02:30:51,12.30,90.00,16.19,56.00,2079,nan
20.08.2025,02:35:51,12.50,90.00,16.19,56.00,2079,nan
20.08.2025,02:40:50,12.40,90.00,16.12,56.00,2081,nan
20.08.2025,02:45:50,12.30,91.00,16.06,56.00,2079,nan
20.08.2025,02:50:49,12.00,91.00,16.06,56.00,2082,nan
20.08.2025,02:55:48,11.70,91.00,16.06,56.00,2082,nan
20.08.2025,03:00:48,11.60,90.00,16.00,56.00,2078,nan
20.08.2025,03:05:47,11.60,91.00,15.94,57.00,2073,nan
20.08.2025,03:10:47,11.60,91.00,15.94,57.00,2074,nan
20.08.2025,03:15:46,11.50,91.00,15.88,57.00,2070,nan
20.08.2025,03:20:45,11.40,91.00,15.81,57.00,2075,nan
20.08.2025,03:25:45,11.40,91.00,15.81,57.00,2070,nan
20.08.2025,03:30:44,11.30,91.00,15.75,57.00,2070,nan
20.08.2025,03:35:44,11.20,91.00,15.75,57.00,2068,nan
20.08.2025,03:40:43,11.20,91.00,15.69,57.00,2075,nan
20.08.2025,03:45:43,11.10,90.00,15.62,57.00,2070,nan
20.08.2025,03:50:42,11.00,91.00,15.56,57.00,2070,nan
20.08.2025,03:55:42,11.00,91.00,15.56,57.00,2069,nan
20.08.2025,04:00:41,10.90,91.00,15.50,57.00,2070,nan
20.08.2025,04:05:41,10.80,92.00,15.50,57.00,2070,nan
20.08.2025,04:10:40,10.80,93.00,15.44,57.00,2069,nan
20.08.2025,04:15:40,10.70,92.00,15.44,57.00,2069,nan
20.08.2025,04:20:39,10.80,91.00,15.38,57.00,2069,nan
20.08.2025,04:25:39,10.70,91.00,15.38,57.00,2065,nan
20.08.2025,04:30:38,10.60,91.00,15.31,57.00,2067,nan
20.08.2025,04:35:38,10.60,92.00,15.25,57.00,2074,nan
20.08.2025,04:40:37,10.50,93.00,15.19,58.00,2064,nan
20.08.2025,04:45:37,10.50,93.00,15.19,58.00,2063,nan
20.08.2025,04:50:36,10.50,92.00,15.12,58.00,2062,nan
20.08.2025,04:55:35,10.40,91.00,15.12,58.00,2059,nan
20.08.2025,05:00:35,10.40,91.00,15.12,59.00,2047,inf
20.08.2025,05:05:34,10.40,93.00,15.06,58.00,2058,0.00
20.08.2025,05:10:33,10.30,93.00,15.00,58.00,2058,4.08
20.08.2025,05:15:33,10.30,92.00,15.00,59.00,2054,5.44
20.08.2025,05:20:33,10.30,92.00,14.94,59.00,2047,14.57
20.08.2025,05:25:32,10.20,92.00,14.94,59.00,2047,30.85
20.08.2025,05:30:32,10.10,91.00,14.88,59.00,2047,54.40
20.08.2025,05:35:31,10.20,92.00,14.88,59.00,2047,96.12
20.08.2025,05:40:31,10.20,92.00,14.81,58.00,2057,148.84
20.08.2025,05:45:30,10.20,92.00,14.81,59.00,2046,208.80
20.08.2025,05:50:29,10.30,92.00,14.75,59.00,2047,289.03
20.08.2025,05:55:29,10.20,92.00,14.75,59.00,2046,378.14
20.08.2025,06:00:28,10.30,92.00,14.75,59.00,2047,483.84
20.08.2025,06:05:28,10.30,91.00,14.69,58.00,2059,583.48
20.08.2025,06:10:27,10.40,91.00,14.69,58.00,2059,692.30
20.08.2025,06:15:27,10.50,91.00,14.62,58.00,2061,777.44
20.08.2025,06:20:26,10.60,91.00,14.62,58.00,2059,899.68
20.08.2025,06:25:26,10.60,92.00,14.62,58.00,2062,1051.20
20.08.2025,06:30:26,10.80,92.00,14.62,58.00,2061,1161.62
20.08.2025,06:35:25,11.00,91.00,14.62,58.00,2063,1268.92
20.08.2025,06:40:25,11.10,92.00,14.62,58.00,2061,1380.15
20.08.2025,06:45:25,11.40,93.00,14.62,58.00,2058,1474.24
20.08.2025,06:50:24,11.70,93.00,14.62,59.00,2047,1572.23
20.08.2025,06:55:24,12.20,93.00,14.69,60.00,2037,1657.62
20.08.2025,07:00:23,12.50,93.00,14.69,62.00,2023,1721.07
20.08.2025,07:05:23,12.80,93.00,14.69,61.00,2029,1768.23
20.08.2025,07:10:22,12.90,92.00,14.69,61.00,2032,1846.24
20.08.2025,07:15:22,13.10,93.00,14.69,59.00,2047,1918.62
20.08.2025,07:20:21,13.30,92.00,14.75,58.00,2062,1958.60
20.08.2025,07:25:21,13.40,92.00,14.81,57.00,2065,2011.38
20.08.2025,07:30:20,13.60,92.00,14.81,57.00,2072,2076.77
20.08.2025,07:35:20,13.80,92.00,14.88,57.00,2075,2140.23
20.08.2025,07:40:20,14.00,92.00,14.88,56.00,2081,2227.36
20.08.2025,07:45:19,14.30,92.00,14.88,56.00,2077,2263.28
20.08.2025,07:50:19,14.50,92.00,14.94,56.00,2077,2341.30
20.08.2025,07:55:18,14.60,92.00,15.00,56.00,2081,2344.81
20.08.2025,08:00:17,15.00,92.00,15.00,55.00,2089,2350.08
20.08.2025,08:05:17,15.20,92.00,15.06,55.00,2093,2342.89
20.08.2025,08:10:17,15.40,92.00,15.12,54.00,2098,2422.66
20.08.2025,08:15:16,15.60,91.00,15.12,54.00,2100,2495.24
20.08.2025,08:20:16,15.80,91.00,15.19,54.00,2103,2537.30
20.08.2025,08:25:15,16.10,91.00,15.25,55.00,2095,2591.48
20.08.2025,08:30:15,16.40,90.00,15.31,54.00,2099,2749.44
20.08.2025,08:35:14,16.60,90.00,15.38,54.00,2101,3260.75
20.08.2025,08:40:14,16.80,90.00,15.44,53.00,2110,2807.83
20.08.2025,08:45:13,16.80,89.00,15.50,53.00,2113,2851.16
20.08.2025,08:50:13,17.00,89.00,15.50,53.00,2114,2893.99
20.08.2025,08:55:13,17.20,88.00,15.56,53.00,2115,3692.09
20.08.2025,09:00:13,17.30,88.00,15.62,52.00,2119,4813.24
20.08.2025,09:05:12,17.80,87.00,15.69,52.00,2126,3782.76
20.08.2025,09:10:11,17.80,84.00,15.75,52.00,2126,3056.13
20.08.2025,09:15:11,17.40,85.00,15.75,51.00,2128,3605.18
20.08.2025,09:20:11,17.80,85.00,15.81,52.00,2126,5308.59
20.08.2025,09:25:11,18.30,84.00,15.88,52.00,2121,4982.25
20.08.2025,09:30:10,18.90,79.00,15.94,53.00,2112,7411.93
20.08.2025,09:35:10,19.20,81.00,16.06,53.00,2109,7797.34
20.08.2025,09:40:10,20.20,79.00,16.12,53.00,2114,6991.66
20.08.2025,09:45:09,19.90,78.00,16.25,52.00,2117,9129.77
20.08.2025,09:50:09,20.30,77.00,16.31,53.00,2112,9303.07
20.08.2025,09:55:09,21.90,73.00,16.44,50.00,2147,7262.41
