DATE,TIME,AIR_TEMPERATURE[C],AIR_HUMIDITY[%],SOIL_TEMPERATURE[C],SOIL_MOISTURE[%],SOIL_MOISTURE[RAW],LIGHT_LEVEL[LUX]
15.08.2025,00:00:36,18.80,82.00,20.38,70.00,1931,nan
15.08.2025,00:05:36,18.80,82.00,20.31,71.00,1927,nan
15.08.2025,00:10:36,18.80,83.00,20.31,71.00,1927,nan
15.08.2025,00:15:35,18.50,85.00,20.19,70.00,1932,nan
15.08.2025,00:20:35,18.30,87.00,20.19,70.00,1933,nan
15.08.2025,00:25:35,18.30,86.00,20.12,71.00,1930,nan
15.08.2025,00:30:35,18.50,85.00,20.12,70.00,1933,nan
15.08.2025,00:35:34,18.30,85.00,20.06,71.00,1930,nan
15.08.2025,00:40:34,18.00,87.00,20.00,70.00,1931,nan
15.08.2025,00:45:34,18.30,85.00,20.00,70.00,1931,nan
15.08.2025,00:50:34,18.10,87.00,19.94,71.00,1929,nan
15.08.2025,00:55:34,17.80,89.00,19.88,71.00,1926,nan
15.08.2025,01:00:33,17.60,90.00,19.88,71.00,1927,nan
15.08.2025,01:05:33,17.50,91.00,19.75,71.00,1927,nan
15.08.2025,01:10:33,17.40,91.00,19.69,71.00,1927,nan
15.08.2025,01:15:32,17.30,91.00,19.69,71.00,1923,nan
15.08.2025,01:20:32,17.20,91.00,19.62,71.00,1923,nan
15.08.2025,01:25:32,17.10,92.00,19.56,71.00,1927,nan
15.08.2025,01:30:31,17.20,91.00,19.50,71.00,1926,nan
15.08.2025,01:35:31,17.00,92.00,19.50,71.00,1922,nan
15.08.2025,01:40:31,17.00,92.00,19.44,71.00,1923,nan
15.08.2025,01:45:30,16.90,92.00,19.38,71.00,1922,nan
15.08.2025,01:50:30,16.80,92.00,19.31,71.00,1921,nan
15.08.2025,01:55:29,16.80,93.00,19.31,71.00,1925,nan
15.08.2025,02:00:29,16.70,93.00,19.25,71.00,1923,nan
15.08.2025,02:05:29,16.60,92.00,19.19,71.00,1925,nan
15.08.2025,02:10:29,16.60,92.00,19.19,70.00,1931,nan
15.08.2025,02:15:28,16.60,92.00,19.12,71.00,1920,nan
15.08.2025,02:20:28,16.50,93.00,19.06,71.00,1923,nan
15.08.2025,02:25:28,16.40,93.00,19.00,71.00,1921,nan
15.08.2025,02:30:27,16.30,93.00,19.00,72.00,1918,nan
15.08.2025,02:35:27,16.20,93.00,18.94,71.00,1920,nan
15.08.2025,02:40:27,16.10,93.00,18.88,71.00,1921,nan
15.08.2025,02:45:27,16.00,94.00,18.88,71.00,1920,nan
15.08.2025,02:50:27,16.00,94.00,18.81,71.00,1920,nan
15.08.2025,02:55:26,15.90,94.00,18.75,72.00,1919,nan
15.08.2025,03:00:26,15.80,94.00,18.69,72.00,1919,nan
15.08.2025,03:05:25,15.80,94.00,18.69,72.00,1918,nan
