DATE,TIME,AIR_TEMPERATURE[C],AIR_HUMIDITY[%],SOIL_TEMPERATURE[C],SOIL_MOISTURE[%],SOIL_MOISTURE[RAW],LIGHT_LEVEL[LUX]
22.07.2025,00:04:39,20.90,83.00,20.12,50.00,2146,nan
22.07.2025,00:09:39,20.90,83.00,20.12,50.00,2147,nan
22.07.2025,00:14:39,20.80,86.00,20.12,50.00,2145,nan
22.07.2025,00:19:38,20.70,84.00,20.12,49.00,2150,nan
22.07.2025,00:24:39,20.50,85.00,20.06,50.00,2146,nan
22.07.2025,00:29:38,20.20,86.00,20.00,49.00,2149,nan
22.07.2025,00:34:38,20.10,87.00,20.00,50.00,2143,nan
22.07.2025,00:39:38,20.10,87.00,19.94,50.00,2147,nan
22.07.2025,00:44:38,20.10,86.00,19.94,50.00,2147,nan
22.07.2025,00:49:37,20.10,87.00,19.94,50.00,2141,nan
22.07.2025,00:54:37,19.70,88.00,19.88,50.00,2145,nan
22.07.2025,00:59:37,19.60,89.00,19.88,50.00,2139,nan
22.07.2025,01:04:37,19.50,90.00,19.81,50.00,2145,nan
22.07.2025,01:09:37,19.50,90.00,19.81,50.00,2143,nan
22.07.2025,01:14:36,19.30,91.00,19.81,51.00,2134,nan
22.07.2025,01:19:36,19.00,92.00,19.75,51.00,2137,nan
22.07.2025,01:24:36,19.30,91.00,19.75,50.00,2144,nan
22.07.2025,01:29:36,19.10,92.00,19.69,50.00,2143,nan
22.07.2025,01:34:35,19.00,93.00,19.69,51.00,2135,nan
22.07.2025,01:39:35,19.40,92.00,19.69,50.00,2138,nan
22.07.2025,01:44:35,19.40,92.00,19.69,50.00,2138,nan
22.07.2025,01:49:35,19.50,91.00,19.69,50.00,2141,nan
22.07.2025,01:54:35,19.50,91.00,19.62,51.00,2134,nan
22.07.2025,01:59:35,19.40,92.00,19.62,50.00,2139,nan
22.07.2025,02:04:34,19.30,92.00,19.62,50.00,2138,nan
22.07.2025,02:09:34,19.10,92.00,19.56,50.00,2146,nan
22.07.2025,02:14:34,19.40,92.00,19.56,51.00,2137,nan
22.07.2025,02:19:34,19.50,92.00,19.56,50.00,2142,nan
22.07.2025,02:24:33,19.70,91.00,19.56,51.00,2137,nan
22.07.2025,02:29:33,19.70,91.00,19.56,50.00,2141,nan
22.07.2025,02:34:33,19.60,91.00,19.56,50.00,2141,nan
22.07.2025,02:39:33,19.40,92.00,19.50,51.00,2131,nan
22.07.2025,02:44:32,19.10,92.00,19.50,51.00,2132,nan
22.07.2025,02:49:32,18.90,94.00,19.50,51.00,2133,nan
22.07.2025,02:54:32,19.10,94.00,19.44,51.00,2137,nan
22.07.2025,02:59:31,19.30,92.00,19.44,50.00,2139,nan
22.07.2025,03:04:31,19.30,92.00,19.44,50.00,2143,nan
22.07.2025,03:09:31,19.50,92.00,19.44,51.00,2128,nan
22.07.2025,03:14:31,19.50,94.00,19.44,51.00,2134,nan
22.07.2025,03:19:31,19.30,95.00,19.44,51.00,2134,nan
22.07.2025,03:24:31,19.30,95.00,19.44,52.00,2124,nan
22.07.2025,03:29:30,19.00,96.00,19.38,64.00,2002,nan
22.07.2025,03:34:30,18.80,98.00,19.38,63.00,2012,nan
22.07.2025,03:39:30,18.70,98.00,19.31,62.00,2023,nan
22.07.2025,03:44:30,18.70,99.00,19.31,61.00,2032,inf
22.07.2025,03:49:30,18.60,99.00,19.25,61.00,2033,nan
22.07.2025,03:54:29,18.60,99.00,19.25,60.00,2043,0.00
22.07.2025,03:59:29,18.50,99.00,19.25,60.00,2034,nan
22.07.2025,04:04:29,18.50,99.00,19.25,59.00,2047,nan
22.07.2025,04:09:29,18.50,99.00,19.25,60.00,2037,0.00
22.07.2025,04:14:29,18.50,99.00,19.19,61.00,2032,0.00
22.07.2025,04:19:28,17.90,99.00,19.12,61.00,2030,nan
22.07.2025,04:24:28,17.20,98.00,19.06,62.00,2021,4.08
22.07.2025,04:29:28,17.00,98.00,18.94,62.00,2019,4.08
22.07.2025,04:34:27,16.60,98.00,18.88,62.00,2022,2.04
22.07.2025,04:39:27,16.50,98.00,18.75,63.00,2011,11.33
22.07.2025,04:44:27,16.40,98.00,18.69,63.00,2003,31.34
22.07.2025,04:49:27,16.40,98.00,18.56,64.00,2000,49.45
22.07.2025,04:54:26,16.40,98.00,18.50,65.00,1987,67.27
22.07.2025,04:59:26,16.40,98.00,18.44,65.00,1987,115.11
22.07.2025,05:04:26,16.40,99.00,18.38,65.00,1983,102.00
22.07.2025,05:09:25,16.40,99.00,18.31,67.00,1968,94.67
22.07.2025,05:14:25,16.20,98.00,18.25,67.00,1966,116.37
22.07.2025,05:19:25,16.10,98.00,18.19,68.00,1960,248.80
22.07.2025,05:24:25,16.10,98.00,18.12,70.00,1937,255.92
22.07.2025,05:29:25,16.00,98.00,18.06,70.00,1936,330.18
22.07.2025,05:34:25,16.00,98.00,18.00,70.00,1937,284.70
22.07.2025,05:39:24,15.90,98.00,17.94,73.00,1907,252.06
22.07.2025,05:44:24,15.90,98.00,17.88,72.00,1917,252.07
22.07.2025,05:49:24,16.00,99.00,17.81,87.00,1755,228.51
22.07.2025,05:54:24,15.80,98.00,17.75,82.00,1807,246.70
22.07.2025,05:59:23,15.80,99.00,17.75,83.00,1804,359.23
22.07.2025,06:04:23,15.70,99.00,17.69,84.00,1794,538.69
22.07.2025,06:09:23,15.70,99.00,17.62,83.00,1805,654.65
22.07.2025,06:14:22,15.70,99.00,17.62,84.00,1792,783.37
22.07.2025,06:19:22,15.60,99.00,17.56,84.00,1789,913.92
22.07.2025,06:24:22,15.60,99.00,17.50,85.00,1779,1532.41
22.07.2025,06:29:22,15.70,99.00,17.50,84.00,1789,1251.25
22.07.2025,06:34:21,15.80,99.00,17.50,84.00,1793,1416.38
22.07.2025,06:39:21,15.80,99.00,17.44,84.00,1789,810.56
22.07.2025,06:44:21,15.80,99.00,17.44,84.00,1786,939.46
22.07.2025,06:49:21,15.70,99.00,17.44,84.00,1788,897.81
22.07.2025,06:54:21,15.70,99.00,17.44,84.00,1788,1004.89
22.07.2025,06:59:21,15.60,99.00,17.38,85.00,1785,1142.95
22.07.2025,07:04:20,15.60,99.00,17.31,84.00,1786,990.27
22.07.2025,07:09:20,15.60,99.00,17.31,84.00,1786,2004.25
22.07.2025,07:14:20,15.60,98.00,17.31,84.00,1789,1922.50
22.07.2025,07:19:19,15.70,98.00,17.31,84.00,1791,2343.17
22.07.2025,07:24:19,15.80,98.00,17.25,85.00,1782,1760.87
22.07.2025,07:29:19,15.70,97.00,17.25,86.00,1771,1967.88
22.07.2025,07:34:19,15.60,97.00,17.25,87.00,1763,1615.91
22.07.2025,07:39:19,15.60,97.00,17.25,85.00,1779,1746.77
22.07.2025,07:44:18,15.60,97.00,17.19,84.00,1789,2149.02
22.07.2025,07:49:18,15.50,97.00,17.19,85.00,1776,2967.02
22.07.2025,07:54:18,15.60,97.00,17.19,86.00,1774,3113.77
22.07.2025,07:59:18,15.70,97.00,17.19,85.00,1775,4550.11
22.07.2025,08:04:18,15.80,96.00,17.19,86.00,1767,3784.56
22.07.2025,08:09:18,15.80,96.00,17.12,86.00,1774,3677.46
22.07.2025,08:14:18,16.00,96.00,17.19,86.00,1769,3744.56
22.07.2025,08:19:18,15.80,96.00,17.19,86.00,1767,6764.16
22.07.2025,08:24:18,16.10,95.00,17.19,86.00,1769,5294.94
22.07.2025,08:29:18,16.40,94.00,17.25,86.00,1771,6469.15
