DATE,TIME,AIR_TEMPERATURE[C],AIR_HUMIDITY[%],SOIL_TEMPERATURE[C],SOIL_MOISTURE[%],SOIL_MOISTURE[RAW],LIGHT_LEVEL[LUX]
21.07.2025,00:00:23,16.10,95.00,19.19,85.00,1777,nan
21.07.2025,00:05:23,16.10,94.00,19.12,85.00,1782,nan
21.07.2025,00:10:23,16.00,94.00,19.06,85.00,1777,nan
21.07.2025,00:15:23,15.90,94.00,19.00,85.00,1776,nan
21.07.2025,00:20:23,15.80,95.00,18.94,86.00,1774,nan
21.07.2025,00:25:23,15.80,95.00,18.88,85.00,1775,nan
21.07.2025,00:30:23,15.60,95.00,18.81,85.00,1778,nan
21.07.2025,00:35:23,15.60,95.00,18.69,85.00,1776,nan
21.07.2025,00:40:23,15.50,95.00,18.69,86.00,1771,nan
21.07.2025,00:45:22,15.50,96.00,18.62,86.00,1774,nan
21.07.2025,00:50:22,15.40,96.00,18.56,86.00,1771,nan
21.07.2025,00:55:22,15.40,96.00,18.50,86.00,1771,nan
21.07.2025,01:00:21,15.40,96.00,18.44,85.00,1776,nan
21.07.2025,01:05:22,15.20,96.00,18.44,85.00,1776,nan
21.07.2025,01:10:21,15.20,96.00,18.31,86.00,1771,nan
21.07.2025,01:15:21,15.20,96.00,18.25,86.00,1774,nan
21.07.2025,01:20:21,15.20,96.00,18.25,86.00,1774,nan
21.07.2025,01:25:21,15.10,96.00,18.19,86.00,1767,nan
21.07.2025,01:30:21,15.30,95.00,18.12,86.00,1771,nan
21.07.2025,01:35:21,15.20,95.00,18.06,86.00,1769,nan
21.07.2025,01:40:21,15.50,93.00,18.00,86.00,1771,nan
21.07.2025,01:45:21,15.30,94.00,17.94,86.00,1765,nan
21.07.2025,01:50:20,15.10,95.00,17.94,86.00,1774,nan
21.07.2025,01:55:20,15.00,95.00,17.88,86.00,1774,nan
21.07.2025,02:00:20,14.90,95.00,17.81,86.00,1767,nan
21.07.2025,02:05:19,14.90,96.00,17.75,86.00,1766,nan
21.07.2025,02:10:20,14.80,96.00,17.75,86.00,1770,nan
21.07.2025,02:15:20,14.70,96.00,17.69,87.00,1763,nan
21.07.2025,02:20:19,14.60,96.00,17.62,86.00,1766,nan
21.07.2025,02:25:19,14.50,96.00,17.56,86.00,1765,nan
21.07.2025,02:30:19,14.40,96.00,17.56,87.00,1764,nan
21.07.2025,02:35:19,14.50,96.00,17.50,86.00,1765,nan
21.07.2025,02:40:19,14.40,96.00,17.44,87.00,1763,nan
21.07.2025,02:45:18,14.30,96.00,17.38,86.00,1769,nan
21.07.2025,02:50:18,14.20,96.00,17.31,87.00,1763,nan
21.07.2025,02:55:17,14.20,96.00,17.25,87.00,1762,nan
21.07.2025,03:00:17,14.10,96.00,17.25,86.00,1766,nan
21.07.2025,03:05:17,14.00,96.00,17.19,87.00,1762,nan
21.07.2025,03:10:17,14.00,96.00,17.19,87.00,1764,nan
21.07.2025,03:15:17,13.90,96.00,17.12,87.00,1763,nan
21.07.2025,03:20:16,14.00,97.00,17.06,86.00,1770,nan
21.07.2025,03:25:16,13.90,96.00,17.00,86.00,1765,nan
21.07.2025,03:30:16,13.70,96.00,16.94,87.00,1762,nan
21.07.2025,03:35:15,13.90,96.00,16.88,86.00,1767,nan
21.07.2025,03:40:15,13.70,96.00,16.88,86.00,1766,nan
21.07.2025,03:45:15,13.70,96.00,16.81,86.00,1767,nan
21.07.2025,03:50:14,13.70,97.00,16.81,87.00,1762,0.00
21.07.2025,03:55:14,13.60,97.00,16.75,87.00,1763,nan
21.07.2025,04:00:14,13.50,97.00,16.69,87.00,1759,nan
21.07.2025,04:05:13,13.50,97.00,16.69,87.00,1760,nan
21.07.2025,04:10:13,13.50,97.00,16.62,86.00,1767,nan
21.07.2025,04:15:13,13.30,96.00,16.56,86.00,1765,4.08
21.07.2025,04:20:13,13.30,97.00,16.50,87.00,1760,5.44
21.07.2025,04:25:12,13.20,97.00,16.44,87.00,1762,10.88
21.07.2025,04:30:12,13.10,97.00,16.44,87.00,1761,21.76
21.07.2025,04:35:11,13.00,97.00,16.38,87.00,1760,36.35
21.07.2025,04:40:12,13.10,97.00,16.31,87.00,1759,56.42
21.07.2025,04:45:11,13.20,97.00,16.31,87.00,1758,88.99
21.07.2025,04:50:11,13.10,97.00,16.25,87.00,1758,130.61
21.07.2025,04:55:11,12.90,97.00,16.19,87.00,1759,188.60
21.07.2025,05:00:11,13.00,97.00,16.19,87.00,1755,277.54
21.07.2025,05:05:10,13.00,97.00,16.12,87.00,1759,381.09
21.07.2025,05:10:10,13.10,97.00,16.12,87.00,1758,388.98
21.07.2025,05:15:10,13.10,97.00,16.06,87.00,1761,698.33
21.07.2025,05:20:09,13.10,97.00,16.00,87.00,1764,875.97
21.07.2025,05:25:09,13.10,97.00,16.00,87.00,1761,1008.25
21.07.2025,05:30:09,13.30,97.00,16.00,86.00,1769,1113.40
21.07.2025,05:35:09,13.30,97.00,16.00,86.00,1770,1262.10
21.07.2025,05:40:09,13.50,97.00,16.00,87.00,1761,1390.86
21.07.2025,05:45:09,13.60,97.00,15.94,87.00,1761,1599.59
21.07.2025,05:50:09,13.80,97.00,15.94,86.00,1767,1898.96
21.07.2025,05:55:09,14.00,97.00,15.94,87.00,1762,2180.25
21.07.2025,06:00:09,14.20,96.00,16.00,86.00,1766,2370.37
21.07.2025,06:05:09,14.40,96.00,16.00,87.00,1762,2281.18
21.07.2025,06:10:09,14.60,95.00,16.06,87.00,1762,2108.93
21.07.2025,06:15:08,14.80,95.00,16.06,87.00,1761,1986.06
21.07.2025,06:20:08,14.80,95.00,16.06,86.00,1766,1957.40
21.07.2025,06:25:08,14.90,95.00,16.06,87.00,1763,1949.70
21.07.2025,06:30:07,15.00,95.00,16.12,87.00,1762,1700.76
21.07.2025,06:35:07,14.90,95.00,16.06,86.00,1771,1440.68
21.07.2025,06:40:07,14.80,95.00,16.12,87.00,1761,1582.10
21.07.2025,06:45:06,14.90,96.00,16.06,87.00,1762,1704.05
21.07.2025,06:50:06,15.00,96.00,16.12,87.00,1763,2091.74
21.07.2025,06:55:06,15.00,96.00,16.12,87.00,1764,2363.16
21.07.2025,07:00:06,15.40,95.00,16.12,86.00,1769,2628.17
21.07.2025,07:05:06,15.70,95.00,16.19,86.00,1771,2525.32
21.07.2025,07:10:06,16.00,94.00,16.19,85.00,1775,2938.87
21.07.2025,07:15:06,16.30,93.00,16.25,85.00,1776,3273.69
21.07.2025,07:20:07,16.70,92.00,16.25,85.00,1779,3308.27
21.07.2025,07:25:07,17.10,89.00,16.31,86.00,1774,3163.02
21.07.2025,07:30:06,17.00,90.00,16.38,85.00,1777,3431.49
21.07.2025,07:35:07,17.40,90.00,16.44,85.00,1776,3427.70
21.07.2025,07:40:06,17.60,87.00,16.50,85.00,1778,3324.81
21.07.2025,07:45:06,17.80,83.00,16.56,85.00,1777,3424.62
21.07.2025,07:50:06,17.80,89.00,16.56,85.00,1779,3377.78
21.07.2025,07:55:06,18.10,86.00,16.62,85.00,1778,3311.26
21.07.2025,08:00:05,18.30,85.00,16.69,85.00,1785,3257.83
21.07.2025,08:05:05,18.70,84.00,16.75,85.00,1782,3379.16
21.07.2025,08:10:05,18.70,83.00,16.75,85.00,1783,3454.01
21.07.2025,08:15:05,18.90,84.00,16.81,84.00,1787,3392.48
21.07.2025,08:20:05,19.20,83.00,16.81,85.00,1782,3307.10
21.07.2025,08:25:05,19.20,85.00,16.88,84.00,1786,3413.69
21.07.2025,08:30:05,19.60,82.00,16.94,84.00,1790,3674.83
21.07.2025,08:35:04,19.80,84.00,16.94,84.00,1794,4140.23
21.07.2025,08:40:05,20.00,84.00,17.06,84.00,1789,4555.12
21.07.2025,08:45:04,20.60,83.00,17.12,84.00,1791,5260.39
21.07.2025,08:50:05,20.80,82.00,17.19,84.00,1792,6030.52
21.07.2025,08:55:05,21.50,83.00,17.31,84.00,1790,6575.57
21.07.2025,09:00:05,21.90,82.00,17.38,84.00,1792,6885.99
21.07.2025,09:05:04,22.50,80.00,17.56,83.00,1799,8149.36
21.07.2025,09:10:04,22.80,78.00,17.69,83.00,1799,9525.48
21.07.2025,09:15:05,23.40,78.00,17.81,82.00,1808,9949.78
21.07.2025,09:20:05,23.60,76.00,17.94,82.00,1806,10171.50
21.07.2025,09:25:04,23.90,76.00,18.12,82.00,1807,10597.64
21.07.2025,09:30:04,24.00,74.00,18.25,82.00,1808,10421.77
21.07.2025,09:35:04,24.40,75.00,18.38,82.00,1808,10299.87
21.07.2025,09:40:04,24.50,73.00,18.50,83.00,1803,10374.22
21.07.2025,09:45:04,24.80,73.00,18.69,83.00,1802,11358.73
21.07.2025,09:50:04,25.30,72.00,18.81,83.00,1804,12258.37
21.07.2025,09:55:04,25.60,70.00,18.94,83.00,1805,13251.95
21.07.2025,10:00:04,26.20,70.00,19.12,82.00,1807,14124.05
21.07.2025,10:05:04,26.40,69.00,19.25,83.00,1805,14354.49
21.07.2025,10:10:05,26.50,70.00,19.44,82.00,1811,14670.02
