DATE,TIME,AIR_TEMPERATURE[C],AIR_HUMIDITY[%],SOIL_TEMPERATURE[C],SOIL_MOISTURE[%],SOIL_MOISTURE[RAW],LIGHT_LEVEL[LUX]
10.07.2025,00:03:53,14.60,82.00,15.19,70.00,1934,nan
10.07.2025,00:08:53,14.80,81.00,15.19,70.00,1934,nan
10.07.2025,00:13:53,14.60,82.00,15.12,70.00,1932,0.16
10.07.2025,00:18:53,14.40,83.00,15.06,70.00,1935,nan
10.07.2025,00:23:52,14.30,83.00,15.00,69.00,1946,nan
10.07.2025,00:28:52,14.00,84.00,14.94,70.00,1934,nan
10.07.2025,00:33:52,13.90,84.00,14.88,70.00,1933,nan
10.07.2025,00:38:51,13.70,84.00,14.81,71.00,1925,nan
10.07.2025,00:43:51,13.50,85.00,14.75,71.00,1927,nan
10.07.2025,00:48:50,13.20,86.00,14.69,71.00,1922,nan
10.07.2025,00:53:50,13.00,86.00,14.62,71.00,1923,nan
10.07.2025,00:58:50,12.70,88.00,14.50,72.00,1918,nan
10.07.2025,01:03:49,12.70,87.00,14.44,72.00,1915,nan
10.07.2025,01:08:49,12.70,87.00,14.38,72.00,1911,nan
10.07.2025,01:13:49,12.50,88.00,14.38,71.00,1920,nan
10.07.2025,01:18:48,12.50,88.00,14.25,72.00,1917,nan
10.07.2025,01:23:48,12.50,88.00,14.19,72.00,1914,nan
10.07.2025,01:28:48,12.30,88.00,14.12,72.00,1912,nan
10.07.2025,01:33:48,11.90,89.00,14.06,72.00,1914,nan
10.07.2025,01:38:48,12.00,89.00,14.00,72.00,1913,nan
10.07.2025,01:43:47,12.00,89.00,13.94,72.00,1915,nan
10.07.2025,01:48:46,12.20,89.00,13.88,73.00,1906,nan
10.07.2025,01:53:46,12.10,89.00,13.88,72.00,1915,nan
10.07.2025,01:58:46,11.90,89.00,13.75,73.00,1904,nan
10.07.2025,02:03:46,11.80,90.00,13.69,73.00,1904,nan
10.07.2025,02:08:45,11.10,90.00,13.62,73.00,1904,nan
10.07.2025,02:13:45,11.30,91.00,13.56,73.00,1901,nan
10.07.2025,02:18:45,11.10,91.00,13.56,73.00,1907,nan
10.07.2025,02:23:44,11.50,92.00,13.50,73.00,1904,nan
10.07.2025,02:28:44,11.50,91.00,13.50,73.00,1902,nan
10.07.2025,02:33:44,11.50,91.00,13.38,73.00,1906,nan
10.07.2025,02:38:44,11.40,91.00,13.31,73.00,1904,nan
10.07.2025,02:43:44,11.40,91.00,13.31,74.00,1898,nan
10.07.2025,02:48:43,11.30,92.00,13.25,73.00,1901,nan
10.07.2025,02:53:44,11.60,92.00,13.19,74.00,1899,nan
10.07.2025,02:58:44,11.50,91.00,13.19,74.00,1891,nan
10.07.2025,03:03:44,11.40,91.00,13.12,74.00,1898,nan
10.07.2025,03:08:44,11.40,92.00,13.12,74.00,1891,nan
10.07.2025,03:13:43,11.40,92.00,13.06,74.00,1895,nan
10.07.2025,03:18:44,11.30,92.00,13.00,74.00,1895,nan
10.07.2025,03:23:43,11.10,92.00,12.94,74.00,1893,0.16
10.07.2025,03:28:43,11.10,92.00,12.94,74.00,1894,nan
10.07.2025,03:33:42,11.10,92.00,12.88,73.00,1904,0.16
10.07.2025,03:38:42,11.10,92.00,12.81,74.00,1894,0.08
10.07.2025,03:43:41,11.00,92.00,12.75,74.00,1890,0.37
10.07.2025,03:48:41,10.80,92.00,12.75,75.00,1886,0.58
10.07.2025,03:53:41,10.70,93.00,12.75,73.00,1901,1.02
10.07.2025,03:58:40,11.00,93.00,12.69,74.00,1891,1.97
10.07.2025,04:03:40,10.60,93.00,12.62,74.00,1889,3.49
10.07.2025,04:08:40,10.70,93.00,12.62,74.00,1891,6.17
10.07.2025,04:13:40,10.70,93.00,12.56,75.00,1887,11.41
10.07.2025,04:18:40,10.70,93.00,12.50,75.00,1886,19.69
10.07.2025,04:23:40,10.50,93.00,12.44,75.00,1888,31.84
10.07.2025,04:28:40,10.40,93.00,12.44,75.00,1886,49.77
10.07.2025,04:33:40,10.40,94.00,12.44,75.00,1883,73.81
