DATE,TIME,AIR_TEMPERATURE[C],AIR_HUMIDITY[%],SOIL_TEMPERATURE[C],SOIL_MOISTURE[%],SOIL_MOISTURE[RAW],LIGHT_LEVEL[LUX]
16.08.2025,00:04:16,20.60,77.00,21.56,65.00,1984,nan
16.08.2025,00:09:16,20.60,77.00,21.50,65.00,1985,nan
16.08.2025,00:14:15,20.30,78.00,21.50,65.00,1982,nan
16.08.2025,00:19:15,20.30,78.00,21.38,65.00,1986,nan
16.08.2025,00:24:14,19.90,79.00,21.38,66.00,1981,nan
16.08.2025,00:29:14,20.10,78.00,21.31,66.00,1979,nan
16.08.2025,00:34:14,19.80,80.00,21.19,66.00,1972,nan
16.08.2025,00:39:13,19.50,81.00,21.12,67.00,1968,nan
16.08.2025,00:44:13,19.90,80.00,21.12,67.00,1968,nan
16.08.2025,00:49:13,19.60,81.00,21.06,67.00,1968,nan
16.08.2025,00:54:12,19.40,82.00,21.00,67.00,1971,nan
16.08.2025,00:59:12,19.20,82.00,20.94,66.00,1975,nan
16.08.2025,01:04:12,19.40,81.00,20.88,66.00,1975,nan
16.08.2025,01:09:11,19.40,82.00,20.81,66.00,1974,nan
16.08.2025,01:14:11,19.30,82.00,20.81,66.00,1975,nan
16.08.2025,01:19:11,19.30,82.00,20.75,66.00,1975,nan
16.08.2025,01:24:10,19.00,84.00,20.69,67.00,1971,nan
16.08.2025,01:29:10,18.90,84.00,20.62,66.00,1973,nan
16.08.2025,01:34:09,18.80,84.00,20.62,66.00,1973,nan
16.08.2025,01:39:09,18.70,85.00,20.56,67.00,1970,nan
16.08.2025,01:44:09,18.50,86.00,20.50,67.00,1968,nan
16.08.2025,01:49:08,18.40,86.00,20.44,67.00,1970,nan
16.08.2025,01:54:08,18.60,86.00,20.38,67.00,1970,nan
16.08.2025,01:59:08,18.70,85.00,20.38,67.00,1968,nan
16.08.2025,02:04:07,18.70,86.00,20.31,67.00,1969,nan
16.08.2025,02:09:07,18.40,87.00,20.25,67.00,1965,nan
16.08.2025,02:14:06,18.40,87.00,20.25,67.00,1968,nan
16.08.2025,02:19:06,18.30,88.00,20.19,67.00,1971,nan
16.08.2025,02:24:05,18.20,89.00,20.19,67.00,1969,nan
16.08.2025,02:29:05,18.10,89.00,20.12,67.00,1968,nan
