DATE,TIME,AIR_TEMPERATURE[C],AIR_HUMIDITY[%],SOIL_TEMPERATURE[C],SOIL_MOISTURE[%],SOIL_MOISTURE[RAW],LIGHT_LEVEL[LUX]
19.07.2025,00:02:21,15.60,97.00,17.31,61.00,2026,nan
19.07.2025,00:07:21,15.80,96.00,17.31,61.00,2027,nan
19.07.2025,00:12:21,16.00,96.00,17.31,62.00,2015,nan
19.07.2025,00:17:21,16.00,96.00,17.31,62.00,2021,nan
19.07.2025,00:22:21,16.00,96.00,17.31,62.00,2019,nan
19.07.2025,00:27:21,16.00,96.00,17.31,60.00,2034,nan
19.07.2025,00:32:21,16.10,95.00,17.31,61.00,2032,nan
19.07.2025,00:37:20,16.10,94.00,17.31,61.00,2033,nan
19.07.2025,00:42:20,16.20,94.00,17.31,61.00,2029,nan
19.07.2025,00:47:20,16.20,95.00,17.31,61.00,2030,nan
19.07.2025,00:52:19,16.30,94.00,17.25,61.00,2033,nan
19.07.2025,00:57:19,16.40,95.00,17.31,60.00,2039,nan
19.07.2025,01:02:19,16.40,93.00,17.25,60.00,2034,nan
19.07.2025,01:07:19,16.40,93.00,17.25,60.00,2035,nan
19.07.2025,01:12:19,16.50,92.00,17.19,61.00,2031,nan
19.07.2025,01:17:19,16.40,94.00,17.25,60.00,2038,nan
19.07.2025,01:22:18,16.50,92.00,17.25,60.00,2037,nan
19.07.2025,01:27:18,16.40,93.00,17.19,61.00,2026,nan
19.07.2025,01:32:18,16.40,93.00,17.19,62.00,2022,nan
19.07.2025,01:37:18,15.90,94.00,17.12,61.00,2032,nan
19.07.2025,01:42:18,15.90,95.00,17.12,61.00,2027,nan
19.07.2025,01:47:18,16.10,95.00,17.12,61.00,2032,nan
19.07.2025,01:52:18,16.20,94.00,17.12,60.00,2035,nan
19.07.2025,01:57:18,16.30,93.00,17.06,61.00,2031,nan
19.07.2025,02:02:17,16.30,94.00,17.06,61.00,2033,nan
19.07.2025,02:07:17,16.40,94.00,17.06,61.00,2033,nan
19.07.2025,02:12:17,16.40,93.00,17.06,61.00,2033,nan
19.07.2025,02:17:16,16.40,94.00,17.06,61.00,2030,nan
19.07.2025,02:22:16,16.40,94.00,17.06,61.00,2032,nan
19.07.2025,02:27:16,16.40,93.00,17.00,61.00,2032,nan
19.07.2025,02:32:16,16.40,93.00,17.00,61.00,2027,nan
19.07.2025,02:37:15,16.40,93.00,17.00,61.00,2026,nan
19.07.2025,02:42:15,16.40,94.00,17.00,61.00,2032,nan
19.07.2025,02:47:15,16.40,94.00,17.00,61.00,2026,nan
19.07.2025,02:52:15,16.40,94.00,17.00,61.00,2027,nan
19.07.2025,02:57:15,16.40,94.00,17.00,62.00,2013,nan
19.07.2025,03:02:15,16.40,94.00,17.00,61.00,2029,nan
19.07.2025,03:07:15,16.40,94.00,16.94,63.00,2010,nan
19.07.2025,03:12:14,16.40,94.00,16.94,61.00,2029,nan
19.07.2025,03:17:14,16.40,94.00,16.94,61.00,2027,nan
19.07.2025,03:22:14,16.40,95.00,16.94,61.00,2027,nan
19.07.2025,03:27:14,16.40,94.00,16.88,61.00,2032,nan
19.07.2025,03:32:14,16.30,94.00,16.94,61.00,2025,nan
19.07.2025,03:37:13,16.40,94.00,16.88,67.00,1971,nan
19.07.2025,03:42:13,16.40,95.00,16.88,62.00,2023,nan
19.07.2025,03:47:12,16.40,95.00,16.94,61.00,2029,0.00
19.07.2025,03:52:12,16.30,95.00,16.88,62.00,2019,nan
19.07.2025,03:57:12,16.30,95.00,16.88,61.00,2028,nan
