DATE,TIME,AIR_TEMPERATURE[C],AIR_HUMIDITY[%],SOIL_TEMPERATURE[C],SOIL_MOISTURE[%],SOIL_MOISTURE[RAW],LIGHT_LEVEL[LUX]
17.07.2025,00:03:55,13.90,93.00,15.88,100.00,1255,nan
17.07.2025,00:08:56,14.20,90.00,15.88,100.00,1251,nan
17.07.2025,00:13:55,14.40,88.00,15.81,100.00,1249,nan
17.07.2025,00:18:55,14.50,87.00,15.81,100.00,1249,nan
17.07.2025,00:23:56,14.60,87.00,15.81,100.00,1256,nan
17.07.2025,00:28:55,14.60,87.00,15.75,100.00,1251,nan
17.07.2025,00:33:55,14.60,88.00,15.75,100.00,1258,nan
17.07.2025,00:38:55,14.50,88.00,15.75,100.00,1248,nan
17.07.2025,00:43:54,14.50,87.00,15.69,100.00,1250,nan
17.07.2025,00:48:54,14.40,88.00,15.69,100.00,1251,nan
17.07.2025,00:53:54,14.40,87.00,15.69,100.00,1255,nan
17.07.2025,00:58:53,14.30,89.00,15.62,100.00,1253,nan
17.07.2025,01:03:53,14.20,88.00,15.62,100.00,1249,nan
17.07.2025,01:08:53,14.30,88.00,15.56,100.00,1257,nan
17.07.2025,01:13:53,14.40,87.00,15.56,100.00,1250,nan
17.07.2025,01:18:53,14.40,87.00,15.50,100.00,1252,nan
17.07.2025,01:23:53,14.50,86.00,15.50,100.00,1249,nan
17.07.2025,01:28:52,14.50,86.00,15.44,100.00,1253,nan
17.07.2025,01:33:52,14.70,86.00,15.44,100.00,1251,nan
17.07.2025,01:38:52,14.60,86.00,15.38,100.00,1257,nan
17.07.2025,01:43:52,14.60,85.00,15.38,100.00,1258,nan
17.07.2025,01:48:52,14.60,85.00,15.31,100.00,1252,nan
17.07.2025,01:53:52,14.70,84.00,15.31,100.00,1250,nan
17.07.2025,01:58:51,14.80,83.00,15.31,100.00,1250,nan
17.07.2025,02:03:52,14.60,84.00,15.31,100.00,1252,nan
17.07.2025,02:08:51,14.70,84.00,15.25,100.00,1251,nan
17.07.2025,02:13:51,14.50,85.00,15.25,100.00,1255,nan
