DATE,TIME,AIR_TEMPERATURE[C],AIR_HUMIDITY[%],SOIL_TEMPERATURE[C],SOIL_MOISTURE[%],SOIL_MOISTURE[RAW],LIGHT_LEVEL[LUX]
13.08.2025,00:02:48,15.60,88.00,18.12,76.00,1874,nan
13.08.2025,00:07:47,15.40,88.00,18.06,76.00,1874,nan
13.08.2025,00:12:47,15.40,89.00,18.00,76.00,1875,nan
13.08.2025,00:17:47,15.30,88.00,17.94,76.00,1877,nan
13.08.2025,00:22:46,15.40,88.00,17.94,76.00,1873,nan
13.08.2025,00:27:46,15.80,88.00,17.94,75.00,1881,nan
13.08.2025,00:32:46,16.40,85.00,17.94,74.00,1899,nan
13.08.2025,00:37:46,16.50,85.00,17.88,75.00,1881,nan
13.08.2025,00:42:46,16.60,81.00,17.88,75.00,1884,nan
13.08.2025,00:47:45,16.40,84.00,17.88,75.00,1879,nan
13.08.2025,00:52:45,16.20,84.00,17.81,75.00,1883,nan
13.08.2025,00:57:45,15.80,86.00,17.81,75.00,1879,nan
13.08.2025,01:02:45,15.50,84.00,17.75,75.00,1879,nan
13.08.2025,01:07:44,15.50,86.00,17.69,76.00,1876,nan
13.08.2025,01:12:44,15.50,85.00,17.62,75.00,1881,nan
13.08.2025,01:17:44,15.40,86.00,17.62,76.00,1878,nan
13.08.2025,01:22:44,15.30,86.00,17.56,76.00,1878,nan
13.08.2025,01:27:43,15.40,85.00,17.50,76.00,1875,nan
13.08.2025,01:32:43,15.60,83.00,17.44,76.00,1878,nan
13.08.2025,01:37:43,15.30,86.00,17.44,75.00,1879,nan
13.08.2025,01:42:43,15.30,85.00,17.38,76.00,1877,nan
13.08.2025,01:47:42,15.20,87.00,17.31,76.00,1878,nan
13.08.2025,01:52:42,15.60,86.00,17.31,75.00,1879,nan
13.08.2025,01:57:42,15.80,85.00,17.31,76.00,1878,nan
13.08.2025,02:02:42,16.00,84.00,17.31,76.00,1875,nan
13.08.2025,02:07:41,16.20,82.00,17.25,75.00,1883,nan
13.08.2025,02:12:41,16.40,82.00,17.31,75.00,1883,nan
13.08.2025,02:17:41,16.40,82.00,17.31,75.00,1880,nan
13.08.2025,02:22:41,15.80,87.00,17.25,76.00,1878,nan
13.08.2025,02:27:41,15.00,88.00,17.19,75.00,1879,nan
13.08.2025,02:32:40,14.60,90.00,17.19,75.00,1879,nan
13.08.2025,02:37:40,14.60,91.00,17.12,75.00,1879,nan
13.08.2025,02:42:40,14.50,90.00,17.06,76.00,1877,nan
13.08.2025,02:47:39,14.40,91.00,17.06,76.00,1875,nan
13.08.2025,02:52:40,14.30,90.00,17.00,76.00,1872,nan
13.08.2025,02:57:39,14.00,91.00,16.94,76.00,1872,nan
13.08.2025,03:02:39,13.90,90.00,16.88,76.00,1874,nan
